City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
206,Roald,NO,62.5833,6.1333,39.33,87,75,17.27,light rain
207,Geraldton,AU,-28.7667,114.6,72.01,88,100,0.0,overcast clouds
208,Nowogard,PL,53.6744,15.1163,41.97,75,0,10.36,clear sky
209,Bairiki,KI,1.3292,172.9752,81.75,73,33,19.42,scattered clouds
210,Sawakin,SD,19.1059,37.3321,69.51,59,1,12.39,clear sky
211,Severnyy,RU,50.677,36.5532,21.24,73,0,8.95,snow
212,Sisimiut,GL,66.9395,-53.6735,2.17,91,100,9.44,light snow
213,Shagonar,RU,51.5333,92.8,-20.36,98,92,2.64,overcast clouds
214,Fortuna,US,40.5982,-124.1573,55.92,81,0,3.0,clear sky
215,Knysna,ZA,-34.0363,23.0471,68.38,84,12,10.6,few clouds
216,Talara,PE,-4.5772,-81.2719,88.56,45,0,14.97,clear sky
217,Namibe,AO,-15.1961,12.1522,74.03,69,100,11.56,overcast clouds
218,Chicama,PE,-7.8447,-79.1469,68.54,56,16,11.48,few clouds
219,Nouadhibou,MR,20.931,-17.0347,69.78,78,0,14.97,clear sky
220,Dax,FR,43.75,-1.1667,47.28,89,2,2.3,clear sky
221,Plettenberg Bay,ZA,-34.0527,23.3716,69.06,83,6,13.78,clear sky
222,Grand Gaube,MU,-20.0064,57.6608,80.38,80,100,10.0,overcast clouds
223,Salalah,OM,17.0151,54.0924,77.09,69,75,3.44,broken clouds
224,Barrow,US,71.2906,-156.7887,-12.98,70,75,12.66,broken clouds
225,Iqaluit,CA,63.7506,-68.5145,-24.07,62,75,0.0,broken clouds
226,Fuerte Olimpo,PY,-21.0415,-57.8738,89.28,48,100,12.33,overcast clouds
227,Namwala,ZM,-15.7504,26.4384,67.3,93,100,1.9,moderate rain
228,Beian,NO,63.6559,9.5683,35.01,69,75,19.57,broken clouds
229,Walvis Bay,NA,-22.9575,14.5053,70.75,73,33,3.44,light rain
230,Decines-Charpieu,FR,45.7686,4.9598,42.64,70,0,6.91,clear sky
231,Flin Flon,CA,54.7682,-101.865,-11.36,64,75,5.75,broken clouds
232,Banda Aceh,ID,5.5577,95.3222,79.05,78,100,4.92,overcast clouds
233,Agadez,NE,19.75,10.25,57.99,23,0,4.21,clear sky
234,Williamsburg,US,37.2707,-76.7075,41.05,42,0,3.0,clear sky
235,Diffa,NE,13.3154,12.6113,66.78,19,0,7.94,clear sky
236,Batagay-Alyta,RU,67.8006,130.4114,-25.98,99,94,3.78,overcast clouds
237,Shahrud,IR,36.4182,54.9763,35.62,71,100,4.38,overcast clouds
238,Prince George,CA,53.9166,-122.753,41.61,59,0,13.8,clear sky
239,Kavaratti,IN,10.5669,72.642,78.69,61,30,9.55,scattered clouds
240,Karasjok,NO,69.4719,25.5112,23.11,92,100,17.52,light snow
241,Atibaia,BR,-23.131,-46.589,85.32,89,98,4.97,overcast clouds
242,Port Hardy,CA,50.6996,-127.4199,41.76,93,75,4.61,broken clouds
243,Cherskiy,RU,68.75,161.3,-32.93,96,12,1.41,few clouds
244,Anadyr,RU,64.75,177.4833,-5.3,77,0,20.13,clear sky
245,Kungurtug,RU,50.5994,97.5228,-13.56,96,47,1.41,scattered clouds
246,Canning,IN,22.3189,88.6714,60.82,57,0,6.98,clear sky
247,Shadegan,IR,30.6497,48.6647,58.91,43,0,8.52,clear sky
248,Saint-Pierre,RE,-21.3393,55.4781,82.08,69,100,13.8,overcast clouds
249,Malmesbury,ZA,-33.4608,18.7271,75.54,37,0,6.04,clear sky
250,Lorengau,PG,-2.0226,147.2712,80.64,77,64,7.56,broken clouds
251,Lata,PT,40.1629,-8.3327,53.08,78,0,4.29,clear sky
252,Dongsheng,CN,39.8161,109.9776,12.76,44,17,5.55,few clouds
253,Toucheng,TW,24.8592,121.8233,59.45,88,100,10.09,overcast clouds
254,Aripuana,BR,-9.1667,-60.6333,81.32,90,74,2.24,broken clouds
255,Americus,US,32.0724,-84.2327,50.95,34,0,6.91,clear sky
256,Fort Nelson,CA,58.8053,-122.7002,-4.41,77,75,4.61,broken clouds
257,Torbay,CA,47.6666,-52.7314,49.75,94,100,23.02,moderate rain
258,Vila Do Maio,CV,15.1333,-23.2167,79.59,82,0,12.3,clear sky
259,Vila Velha,BR,-20.3297,-40.2925,84.15,80,40,8.01,scattered clouds
260,Praia,CV,14.9215,-23.5087,79.34,41,0,17.27,clear sky
261,Verkhoyansk,RU,67.5447,133.385,-45.4,100,71,1.77,broken clouds
262,Neiafu,TO,-18.65,-173.9833,79.48,94,100,4.61,overcast clouds
263,Tomatlan,MX,19.9333,-105.25,86.92,33,9,9.19,clear sky
264,Dibulla,CO,11.2725,-73.3091,84.22,62,15,13.02,few clouds
265,Luis Correia,BR,-2.8792,-41.6669,87.8,74,40,13.8,scattered clouds
266,Olden,NO,61.8364,6.8064,36.27,93,100,11.77,light rain
267,Gravdal,NO,68.1214,13.5031,38.39,81,100,36.55,light rain
268,Yekaterinovka,RU,52.0508,44.3451,10.02,98,83,7.4,broken clouds
269,Halifax,CA,44.6453,-63.5724,25.21,89,100,8.01,overcast clouds
270,Ouallam,NE,14.3188,2.0866,73.54,11,0,10.96,clear sky
271,Raudeberg,NO,61.9875,5.1352,38.19,93,100,5.01,overcast clouds
272,Kudahuvadhoo,MV,2.6708,72.8944,81.63,70,24,9.44,few clouds
273,Bonfim,BR,3.0833,-59.95,91.02,44,100,6.04,overcast clouds
274,Mabaruma,GY,8.2,-59.7833,81.75,70,61,6.15,broken clouds
275,Roebourne,AU,-20.7833,117.1333,84.09,73,100,5.59,overcast clouds
276,Gari,RU,59.4307,62.3497,17.38,98,100,4.59,overcast clouds
277,Faya,SA,18.3851,42.4509,55.51,77,3,3.51,clear sky
278,Capitao Poco,BR,-1.7464,-47.0594,79.5,89,100,6.8,overcast clouds
279,Bar Harbor,US,44.3876,-68.2039,20.91,73,100,3.0,overcast clouds
280,Puerto Penasco,MX,31.3167,-113.5333,58.91,40,8,4.0,clear sky
281,Rameswaram,IN,9.2833,79.3,79.83,75,100,20.92,overcast clouds
282,Coahuayana,MX,18.7333,-103.6833,85.48,37,9,7.87,clear sky
283,Whitehorse,CA,60.7161,-135.0538,13.8,85,75,12.66,broken clouds
284,Tateyama,JP,34.9833,139.8667,32.02,69,75,6.91,broken clouds
285,Terney,RU,45.0503,136.6092,2.53,80,69,13.51,broken clouds
286,Kedrovyy,RU,56.1667,91.8167,25.21,81,100,9.06,overcast clouds
287,Camacha,PT,33.0833,-16.3333,63.54,82,20,20.71,few clouds
288,Lavrentiya,RU,65.5833,-171.0,-17.64,93,18,9.48,few clouds
289,Dudinka,RU,69.4058,86.1778,-20.04,100,94,3.44,overcast clouds
290,Leningradskiy,RU,69.3833,178.4167,-22.18,96,7,4.36,clear sky
291,Jumla,NP,29.2747,82.1838,25.56,70,2,5.77,clear sky
292,Jacqueville,CI,5.2052,-4.4146,84.11,82,19,13.42,few clouds
293,Situbondo,ID,-7.7062,114.0098,75.94,88,72,4.12,broken clouds
294,Whitecourt,CA,54.1502,-115.6855,34.84,80,75,11.5,broken clouds
295,Beringovskiy,RU,63.05,179.3167,-9.99,92,18,14.5,few clouds
296,Slave Lake,CA,55.2834,-114.769,13.98,92,100,9.22,overcast clouds
297,Kruisfontein,ZA,-34.0033,24.7314,66.88,83,45,19.66,scattered clouds
298,Birao,CF,10.2849,22.7882,74.1,16,46,7.45,scattered clouds
299,Cidreira,BR,-30.1811,-50.2056,73.99,94,100,8.93,overcast clouds
300,Port Blair,IN,11.6667,92.75,80.64,83,20,2.3,mist
301,Severo-Kurilsk,RU,50.6789,156.125,28.36,94,100,5.46,light snow
302,Hasaki,JP,35.7333,140.8333,21.6,35,7,9.44,clear sky
303,Kawalu,ID,-7.3817,108.2082,73.33,95,88,2.59,overcast clouds
304,Daitari,IN,21.1,85.75,59.27,32,100,3.44,overcast clouds
305,Lock Haven,US,41.137,-77.4469,24.91,54,100,11.56,overcast clouds
306,Novoagansk,RU,61.9449,76.6625,3.22,96,100,2.3,overcast clouds
307,Kapit,MY,2.0167,112.9333,73.22,100,100,1.34,light rain
308,Pierre,US,44.3683,-100.351,54.52,33,0,1.99,clear sky
309,Sitka,US,57.0531,-135.33,42.69,81,100,13.8,moderate rain
310,Brae,GB,60.3964,-1.353,40.91,62,100,37.33,overcast clouds
311,Lamu,KE,-2.2717,40.902,79.02,86,100,8.97,overcast clouds
312,Yuanping,CN,38.7153,112.7575,24.6,31,12,4.52,few clouds
313,Nieves,PH,15.3274,120.9485,73.74,79,100,4.94,overcast clouds
314,Zhangjiakou,CN,40.81,114.8794,11.52,69,3,4.76,snow
315,Marzuq,YE,14.4,46.4667,67.75,40,20,4.56,few clouds
316,Alegrete,BR,-29.7831,-55.7919,94.77,23,10,17.58,clear sky
317,Haines Junction,CA,60.7522,-137.5108,8.55,92,100,4.61,overcast clouds
318,Juegang,CN,32.3174,121.1855,32.92,56,9,7.56,clear sky
319,Lazaro Cardenas,MX,17.9583,-102.2,82.96,51,0,7.67,clear sky
320,San Jose,US,37.3394,-121.895,62.26,57,75,0.0,broken clouds
