City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Faanui,PF,2022-02-02 06:33:04,-16.4833,-151.75,80.87,77,4,21.27
109,Tautira,PF,2022-02-02 06:33:04,-17.7333,-149.15,82.42,79,33,17.67
110,Wasilla,US,2022-02-02 06:33:04,61.5814,-149.4394,25.74,84,100,0.0
111,Tuatapere,NZ,2022-02-02 06:33:05,-46.1333,167.6833,71.82,83,100,3.53
112,Atasu,KZ,2022-02-02 06:28:09,48.6814,71.6433,15.91,82,100,6.67
113,Bilma,NE,2022-02-02 06:33:05,18.6853,12.9164,56.26,21,0,5.39
114,Provideniya,RU,2022-02-02 06:33:06,64.3833,-173.3,10.09,60,0,21.56
115,Leningradskiy,RU,2022-02-02 06:33:06,69.3833,178.4167,-14.06,97,55,9.19
116,Upernavik,GL,2022-02-02 06:33:06,72.7868,-56.1549,-11.56,68,100,4.07
117,Manzhouli,CN,2022-02-02 06:33:07,49.6,117.4333,-2.6,83,45,6.93
118,Yulara,AU,2022-02-02 06:33:07,-25.2406,130.9889,71.44,83,100,12.66
119,At-Bashi,KG,2022-02-02 06:33:07,41.1702,75.8106,15.06,63,99,1.79
120,Havoysund,NO,2022-02-02 06:33:08,70.9963,24.6622,23.88,78,45,11.92
121,Tasiilaq,GL,2022-02-02 06:33:08,65.6145,-37.6368,14.16,90,100,6.38
122,Kaitangata,NZ,2022-02-02 06:33:09,-46.2817,169.8464,72.93,68,100,3.13
123,Pappinisseri,IN,2022-02-02 06:33:09,11.95,75.35,88.11,51,5,7.29
124,Coquimbo,CL,2022-02-02 06:31:29,-29.9533,-71.3436,62.71,89,8,3.53
125,Touros,BR,2022-02-02 06:33:09,-5.1989,-35.4608,76.1,82,98,8.14
126,Oytal,KZ,2022-02-02 06:33:10,42.9057,73.2697,39.02,43,100,3.51
127,Longyearbyen,SJ,2022-02-02 06:33:10,78.2186,15.6401,19.24,79,75,11.5
128,Tommot,RU,2022-02-02 06:33:10,58.9564,126.2925,-3.17,92,100,9.57
129,Karla,EE,2022-02-02 06:33:11,59.3723,24.9275,20.91,93,100,1.14
130,Bredasdorp,ZA,2022-02-02 06:33:11,-34.5322,20.0403,73.27,83,0,4.61
131,Lerwick,GB,2022-02-02 06:33:11,60.1545,-1.1494,39.2,88,100,7.52
132,Kaina,NG,2022-02-02 06:33:12,12.6374,8.5873,57.81,17,27,6.11
133,Mackay,AU,2022-02-02 06:31:45,-21.15,149.2,93.69,62,100,14.97
134,Sao Filipe,CV,2022-02-02 06:33:12,14.8961,-24.4956,73.42,72,3,12.46
135,Chapais,CA,2022-02-02 06:32:45,49.7834,-74.8492,24.58,91,100,16.15
136,Gizo,SB,2022-02-02 06:33:13,-8.103,156.8419,83.68,75,100,14.5
